objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id,shape_Length,shape_Area
212,Andijon viloyati,Birlashgan MFY,1703,Jalaquduq tumani,1703211,1703211053,9903.7345427042,1375316.5935871105
213,Andijon viloyati,Olmazor MFY,1703,Jalaquduq tumani,1703211,1703211045,17693.7048150223,8827180.617123837
214,Andijon viloyati,Buzrukxonto‘ra MFY,1703,Jalaquduq tumani,1703211,1703211038,26948.4622599257,20955254.766281668
215,Andijon viloyati,A.Raxmonov MFY,1703,Jalaquduq tumani,1703211,1703211036,28117.0386538299,13987337.34460404
216,Andijon viloyati,Ittifoq MFY,1703,Jalaquduq tumani,1703211,1703211042,15598.7638481928,5868372.455423205
217,Andijon viloyati,Ko‘kalam MFY,1703,Jalaquduq tumani,1703211,1703211043,16599.8518898274,6887543.200178051
218,Andijon viloyati,Toshloq MFY,1703,Jalaquduq tumani,1703211,1703211048,6235.0169844016,1307154.181220485
219,Andijon viloyati,Delvarzin MFY,1703,Jalaquduq tumani,1703211,1703211040,13508.58921883,6134078.784959719
220,Andijon viloyati,Navoiy MFY,1703,Jalaquduq tumani,1703211,1703211035,4297.8713526305,858350.7525828585
221,Andijon viloyati,Guliston MFY,1703,Jalaquduq tumani,1703211,1703211034,4551.4944579459,1151913.0915671322
222,Andijon viloyati,Guzar MFY,1703,Paxtaobod tumani,1703232,1703232041,9204.1917781743,1032754.446156735
223,Andijon viloyati,Mustaqillik MFY,1703,Paxtaobod tumani,1703232,1703232010,7166.2587607882,2360417.809046783
224,Andijon viloyati,Ma`shal MFY,1703,Paxtaobod tumani,1703232,1703232053,10682.0610212082,3189672.425674987
225,Andijon viloyati,Qashqar MFY,1703,Paxtaobod tumani,1703232,1703232007,9409.543103365,2552043.301323167
226,Andijon viloyati,Navro`z MFY,1703,Paxtaobod tumani,1703232,1703232001,5118.9489650265,1227059.272903324
227,Andijon viloyati,Muazzimboy MFY,1703,Paxtaobod tumani,1703232,1703232008,5543.3074708147,760915.207997856
228,Andijon viloyati,Nodirabegim MFY,1703,Paxtaobod tumani,1703232,1703232006,11394.450263666,3995809.493783162
229,Andijon viloyati,Qo`qonqishloq MFY,1703,Paxtaobod tumani,1703232,1703232005,4478.4019086182,564122.733913679
